title;mediaType;eps;startYr;finishYr;sznOfRelease;description;studios;tags
Fullmetal Alchemist: Brotherhood;TV;64;2009;2010;Spring;"The foundation of alchemy is based on the law of equivalent exchange; you cannot produce something from nothing. As such, alchemy is bound by one taboo - human transmutation. Four years ago two young brothers, Edward and Alphonse Elric, broke this taboo when they tried to resurrect their dead mother. During the process Al's body disintegrated and Ed lost his leg. In a desperate attempt to prevent his brother from disappearing completely, Ed sacrificed one of his arms so he could affix Al's soul to a suit of armor. When his missing limbs are replaced by auto mail parts, Ed bears the name of the Fullmetal Alchemist - the youngest ever State Alchemist and dog of the military. Now, alongside his brother, Ed uses his status within the military to attempt to find any way that he can return their bodies back to their original state.";['Bones'];Action,Adventure,Drama,Fantasy,Mystery,Shounen,Conspiracy,Military,Siblings,Based on a Manga
your name.;Movie;1;2016;2016;;Mitsuha and Taki are two total strangers living completely different lives. But when Mitsuha makes a wish to leave her mountain town and for the bustling city of Tokyo, they become connected in a bizarre way. She dreams she is a boy living in Tokyo while Taki dreams he is a girl from a rural town he’s never been to. What does their newfound connection mean? And how will it bring them together?;['CoMix Wave Films'];Drama,Romance,Body Swapping,Gender Bender,Opposites Attract,School Life,Supernatural,Original Work
A Silent Voice;Movie;1;2016;2016;;After transferring into a new school, a deaf girl, Shouko Nishimiya, is bullied by the popular Shouya Ishida. As Shouya continues to bully Shoko, the class turns its back on him. Shouko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shouya finds Shouko to make amends. ;['Kyoto Animation'];Drama,Shounen,Disability,Melancholy,Mental Illness,School Life,Based on a Manga
Haikyuu!! Karasuno High School vs Shiratorizawa Academy;TV;10;2016;2016;Fall;Picking up where the second season ended, the boys prepare to finally face off for the right to represent the prefecture in the volleyball national championship. Despite being known as “The Fallen Champions,” Karasuno is determined to take down the powerhouse that is the Shiratorizawa High volleyball team. As Hinata comes closer to fulfilling his promise to defeat Ushijima’s team, will the “Flightless Crows” finally find their wings and soar above the best school in the prefecture? ;['Production I.G'];Shounen,Sports,Animeism,School Club,School Life,Tournaments,Volleyball,Based on a Manga
Attack on Titan 3rd Season: Part II;TV;10;2019;2019;Spring;The battle to retake Wall Maria begins now! With Eren’s new hardening ability, the Scouts are confident they can seal the wall and take back Shiganshina District. If they succeed, Eren can finally unlock the secrets of the basement—and the world. But danger lies in wait as Reiner, Bertholdt, and the Beast Titan have plans of their own. Could this be humanity’s final battle for survival?;['Wit Studio'];Action,Fantasy,Horror,Shounen,Dark Fantasy,Isolated Society,Military,Outside World,Post-apocalyptic,Based on a Manga
Demon Slayer: Kimetsu no Yaiba;TV;26;2019;2019;Spring;Bloodthirsty demons lurk in the woods, and nobody dares to venture out at night, save for the demon slayer of legend. Surviving in this harsh world, young Tanjirou takes it upon himself to protect his family–until the day that everything is taken from him in a vicious slaughter. Now, all he has left is his sister, and she’s not even human anymore.;['ufotable'];Action,Adventure,Comedy,Drama,Fantasy,Shounen,Demons,Historical,Martial Arts,Orphans,Siblings,Based on a Manga
Haikyuu!! Second Season;TV;25;2015;2016;Fall;After losing to Aoba Johsai at the Inter-High, the Karasuno High Volleyball Team is working their hardest toward the Spring Tournament. In the meantime, it's decided that they'll be heading to Tokyo for a training camp with Nekoma High and a handful of other powerful schools. They team is practicing hard, and not day during their run, Hinata and Kageyama get too excited and end up lost, and end up meeting someone rather unexpected...;['Production I.G'];Shounen,Sports,School Club,School Life,Tournaments,Volleyball,Based on a Manga
Hunter x Hunter (2011);TV;148;2011;2014;Fall;Drawn to the mystique of the unknown, Hunters travel the world in search of terrifying creatures, incredible riches, and unexplored lands. Gon Freecss is a naive-yet-determined young boy who aspires to join the ranks of these individuals, in order to find his missing father Ging - a master of the profession himself. To reach his goal, he partakes in the formidable Hunter Exam, a series of tests that push the participants to their physical and mental limits, with a Hunter License as the prize. During the exam Gon befriends vengeful Kurapika, doctor-to-be Leorio, and skilled assassin Killua, who have entered for their own reasons. But with the sinister Hisoka standing in their way, will Gon and his friends be able to succeed in obtaining their reward, or even escaping with their lives?;['MADHOUSE'];Action,Adventure,Drama,Fantasy,Shounen,Monsters,Superpowers,Based on a Manga
Gintama Kanketsu-hen: Yorozuya yo Eien Nare;Movie;1;2013;2013;;"While watching a movie, Gintoki comes upon a ""movie thief,"" a figure in Japanese culture often depicted as a man with a video camera as a head. After scolding the movie thief for his actions, he finds himself warped into another world via the camera lens. In this world, 5 years have passed, and not only has the land of Edo changed into an apocalyptic wasteland, but Kagura has changed into a beautiful woman with no Chinese speech pattern, Shinpachi has turned into a cool samurai who is not a tsukkomi anymore, and the Gintoki of this time has gone missing, though he is assumed to be dead. Gintoki is determined to find out the truth of the deadly sickness that is ravaging Edo, and also to understand the feelings of Kagura and Shinpachi, who have been trying to deal with their leader's disappearance.";['Sunrise'];Action,Comedy,Drama,Sci Fi,Shounen,Aliens,Feudal Japan,Samurai,Swordplay,Time Travel,Based on a Manga
Gintama (2015);TV;51;2015;2016;Spring;Fourth season of Gintama.;['BN Pictures'];Action,Comedy,Drama,Sci Fi,Shounen,Aliens,Breaking the Fourth Wall,Crude,Feudal Japan,Gag,Parody,Samurai,Slapstick,Swordplay,Based on a Manga
Mob Psycho 100 II;TV;13;2019;2019;Winter;Second Season of Mob Psycho 100.;['Bones'];Action,Comedy,Shounen,Psychic Powers,Psychological,School Life,Supernatural,Superpowers,Based on a Manga
